InternalName,DisplayName,FieldType,UsedInContentTypes
Language,Language,"MultiChoice [ENGLISH
FRENCH
SPANISH]",CRF General; CRF Marketing; CRF Transfer; CRF QA
Management_x0020_Visibility,Minimum Management Visibility,"Choice [All Store Associates
District Managers
HQ
Store Leaders (SLs or Keyholders)
Store Managers
Regional Directors]",CRF General; CRF Marketing; CRF Transfer; CRF QA
Who_x0020_in_x0020_Store_x0020_O,What member of Store Operations has reviewed this CRF? What other team members should be included in the approval email?,User (UserMulti),CRF General; CRF Marketing; CRF Transfer; CRF QA
Expiration_x0020_Date,Portal Expiration Date,DateTime (DateTime),CRF General; CRF Marketing; CRF Transfer; CRF QA
Comm_x0020_Status,Comm Status,"Choice [Cancelled
Placeholder
Pending Draft
Published]",CRF General; CRF Marketing; CRF Transfer; CRF QA
Monthly_x0020_Agenda_x003f_,Monthly Agenda?,"Choice [No
Yes]",CRF General; CRF Marketing; CRF Transfer; CRF QA
Error_x003f_,Error?,"Choice [No
Yes]",CRF General; CRF Marketing; CRF Transfer; CRF QA
Reason_x0020_for_x0020_error_x00,Reason for error?,Text (Text),CRF General; CRF Marketing; CRF Transfer; CRF QA
Actual_x0020_Publication_x0020_D,Actual Publication Date,DateTime (DateTime),CRF General; CRF Marketing; CRF Transfer; CRF QA
First_x0020_draft_x0020_due_x002,First draft due by:,DateTime (DateTime),CRF General; CRF Marketing; CRF Transfer; CRF QA
Final_x0020_approval_x0020_due_x,Final approval due by:,DateTime (DateTime),CRF General; CRF Marketing; CRF Transfer; CRF QA
Communication_x0020_Vehicle,Communication Vehicle,"Choice [Store Portal- Pricing
Store Portal- Newsletter
Store Portal- Store Ops Omni
Store Portal- Marketing/Visual
Store Portal- QA/Transfers
Store Portal- HR
Store Portal- Misc.
Store Alert
Monthly Agenda
UFU
News Article
TSt Email
Workload Calendar
Mailpack
Bi-Weekly Newsletter]",CRF General; CRF Marketing; CRF Transfer; CRF QA
Approval_x0020_Lock,Approval Lock,"Choice [Yes
No]",CRF General; CRF Marketing; CRF Transfer; CRF QA
CRF_x0020_Approval_x0020_WF_x002,CRF Approval WF 7920,URL (URL),CRF Marketing
Actual_x0020_Fiscal_x0020_Week,Published Fiscal Week,Number (Number),CRF General; CRF Marketing; CRF Transfer; CRF QA
Comm_x0020_Owner,Comm Owner,"Choice [Barbara Van Voorhis
Michelle Tucci]",CRF General; CRF Marketing; CRF Transfer; CRF QA
Submitter,Approver,User (User),CRF General; CRF Marketing; CRF Transfer; CRF QA
Comm_x0020_Type,Comm Error Type,"Choice [Mid-Day Pricing
Pricing Update
Quality
Re-price/Re-ticket
Transfer]",CRF General; CRF Marketing; CRF Transfer; CRF QA
Impacted_x0020_Brand,Impacted Brand,"MultiChoice [TCP
GYM]",CRF General; CRF Marketing; CRF Transfer; CRF QA
Effective_x0020_Fiscal_x0020_Wee,Effective Fiscal Week,Number (Number),CRF General; CRF Marketing; CRF Transfer; CRF QA
Effective_x0020_End_x0020_Date,Effective End Date,DateTime (DateTime),CRF General; CRF Marketing; CRF Transfer; CRF QA
qs8f,Text,Text (Text),CRF General
FlowStatus,FlowStatus,"Choice [Created
Changed
Finished]",CRF General; CRF Marketing; CRF Transfer; CRF QA
Sign_x002d_off_x0020_status,Sign-off status,Text (Text),CRF General; CRF Marketing; CRF Transfer; CRF QA
